Datetime,tweet,Location ,tokens,cluster,topic_name,tweetStop,Polarity,Classification,hospital_name,Latitude,Longitude
2023-04-12 13:15:21+00:00,"LUTH accident and emergency ward is noting too write home about to even start with, cause I was there as at December.","8.6753Â° N, 9.0810Â° E, 200km","['luth', 'accident', 'emergency', 'ward', 'note', 'write', 'home', 'start', 'cause', 'december']",2,Hospital bed space and patient capacity,"luth accident emergency ward noting write home even start , cause december.",0.0,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-12 13:15:21+00:00,"I was at LUTH emergency one time.There were doctors but NO BED.You want to force doctors to stay? Are they expected to bring beds from their homes, or use their salary to equip the hospitals?","8.6753Â° N, 9.0810Â° E, 200km","['luth', 'emergency', 'time', 'doctor', 'bed', 'want', 'force', 'doctor', 'stay', 'expect', 'bring', 'bed', 'home', 'use', 'salary', 'equip', 'hospitals']",2,Hospital bed space and patient capacity,"luth emergency one time.doctors bed.want force doctors stay? expected bring beds homes, use salary equip hospitals?",-0.1,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-07 10:32:19+00:00,@MrLamiofficial @shilepoppa I met a man that came all the way from USA to luth for radiotherapy service.  He said he can't afford it in USA .,"8.6753Â° N, 9.0810Â° E, 200km","['meet', 'man', 'come', 'way', 'usa', 'luth', 'radiotherapy', 'service', 'say', 'afford', 'usa']",1,Medical professionals and patient outcomes,@mrlamiofficial @shilepoppa met man came way usa luth radiotherapy service. said 'afford usa .,0.0,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-07 10:10:28+00:00,"If the dilapidated system is receiving some repairs, people will come back to help it. I have seen consultants that went out, got some training and came back to work!!! Some tools used in Neurosurgery in luth are from the personal pockets of their consultants.","8.6753Â° N, 9.0810Â° E, 200km","['dilapidate', 'receive', 'repair', 'people', 'come', 'help', 'see', 'consultants', 'go', 'get', 'train', 'come', 'work', 'tool', 'neurosurgery', 'luth', 'personal', 'pocket', 'consultants']",2,Hospital bed space and patient capacity,"dilapidated system receiving repairs, people come back help . seen consultants went , got training came back work!!! tools used neurosurgery luth personal pockets consultants.",0.0,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-07 09:50:33+00:00,"@AdesojiMinkail There is nothing real about this , absolutely nothing. Government officials spend billions going abroad for treatmentâ€¦ have you been to Luth? Have you seen the facilities? You are cutting off a branch when the root is still intact â€¦","8.6753Â° N, 9.0810Â° E, 200km","['real', 'absolutely', 'government', 'officials', 'spend', 'billions', 'go', 'abroad', 'treatment', 'luth', 'see', 'facilities', 'cut', 'branch', 'root', 'intact']",2,Hospital bed space and patient capacity,"@adesojiminkail nothing real , absolutely nothing. government officials spend billions going abroad treatmentâ€¦ luth? seen facilities? cutting branch root still intact â€¦",-0.15,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-06 10:29:35+00:00,@RonforteTowers @DeeOneAyekooto Yes they did inject Lead (Pb) into his body @YeleSowore for which he spent a year at Luth. But like we all know he is an opportunist and he knows why that was done to him.,"8.6753Â° N, 9.0810Â° E, 200km","['yes', 'inject', 'lead', 'body', 'spend', 'year', 'luth', 'like', 'know', 'opportunist', 'know']",4,Miscellaneous comments and inquiries,@ronfortetowers @deeoneayekooto yes inject lead (pb) body @yelesowore spent year luth. like know opportunist knows done .,-0.1,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-06 09:09:50+00:00,"@osita_chidoka @GeoffreyOnyeama @Reuters @BBCNews @UKParliament @UKMedicalHealth @10DowningStreet Sonia deserves to live like a thousand native Sonia's waiting for a bed space at Luth, UBTH etc. Have you been to the emergency section at LUTH?  Very sick people are first treated outside because no space inside. You get a chance when some1 progresses to the morgue.","8.6753Â° N, 9.0810Â° E, 200km","['downingstreet', 'sonia', 'deserve', 'live', 'like', 'thousand', 'native', 'sonia', 'wait', 'bed', 'space', 'luth', 'ubth', 'emergency', 'section', 'luth', 'sick', 'people', 'treat', 'outside', 'space', 'inside', 'chance', 'progress', 'morgue']",2,Hospital bed space and patient capacity,"@osita_chidoka @geoffreyonyeama @reuters @bbcnews @ukparliament @ukmedicalhealth @10downingstreet sonia deserves live like thousand native sonia'waiting bed space luth, ubth etc. emergency section luth? sick people first treated outside space inside. get chance some1 progresses morgue.",-0.081980519480519,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-06 08:50:28+00:00,They imprison you in government hospitals if you canâ€™t settle your billsâ€¦ @jidesanwoolu there is a number of Prisoners at LASUTH and LUTH.,"8.6753Â° N, 9.0810Â° E, 200km","['imprison', 'government', 'hospitals', 'settle', 'bill', 'number', 'prisoners', 'lasuth', 'luth']",9,High mortality rates due to inadequate healthcare services,imprison government hospitals â€™settle billsâ€¦ @jidesanwoolu number prisoners lasuth luth.,0.0,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-03 12:11:40+00:00,"Luth General Surgery Monday morning reviews. People that know, know.","8.6753Â° N, 9.0810Â° E, 200km","['luth', 'general', 'surgery', 'monday', 'morning', 'review', 'people', 'know', 'know']",1,Medical professionals and patient outcomes,"luth general surgery monday morning reviews. people know, know.",0.05,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
2023-04-03 07:26:56+00:00,"@jerzyakor I have not experienced JUTH but LUTH I have. And trust me, I don't want to experience LUTH again. Not for a moment. Let me not even go into sentiments because the details is all about that.","8.6753Â° N, 9.0810Â° E, 200km","['experience', 'juth', 'luth', 'trust', 'want', 'experience', 'luth', 'moment', 'let', 'sentiments', 'detail']",1,Medical professionals and patient outcomes,"@jerzyakor experienced juth luth . trust , 'want experience luth . moment. let even go sentiments details .",0.8,Dissatisfied,🇳🇬 Lagos University Teaching Hospital,6.5188526,3.3557159
